date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:51	77291/77291	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Jul%202022%2018:24:19%20GMT	https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html	C:/My%20Web%20Sites/VoltThemeFV/demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html	(from )
18:08:52	35/35	---M--	200	added ('OK')	text/plain	etag:%2262c481d2-23%22	https://demo.themesberg.com/robots.txt		(from )
18:08:55	5617/5617	---M--	200	added ('OK')	image/png	etag:%2262c481d3-15f1%22	https://demo.themesberg.com/volt-pro/assets/img/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/VoltThemeFV/demo.themesberg.com/volt-pro/assets/img/favicon/apple-touch-icon.png	(from https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html)
18:08:55	1775/1775	---M--	200	added ('OK')	image/png	etag:%2262c481d3-6ef%22	https://demo.themesberg.com/volt-pro/assets/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/VoltThemeFV/demo.themesberg.com/volt-pro/assets/img/favicon/favicon-32x32.png	(from https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html)
18:08:55	171031/171031	---M--	200	added ('OK')	image/jpeg	etag:%22c15fe84da54472e2b6967a15306bc2cf%22	https://themesberg.s3.us-east-2.amazonaws.com/public/products/volt-pro-bootstrap-5-dashboard/volt-pro-preview.jpg	C:/My%20Web%20Sites/VoltThemeFV/themesberg.s3.us-east-2.amazonaws.com/public/products/volt-pro-bootstrap-5-dashboard/volt-pro-preview.jpg	(from https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html)
18:08:55	1102/1102	---M--	200	added ('OK')	image/png	etag:%2262c481d3-44e%22	https://demo.themesberg.com/volt-pro/assets/img/favicon/favicon-16x16.png	C:/My%20Web%20Sites/VoltThemeFV/demo.themesberg.com/volt-pro/assets/img/favicon/favicon-16x16.png	(from https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html)
18:08:56	22627/22627	---MCZ	200	added ('OK')	text/css	etag:W/%2262c481d3-5863%22	https://demo.themesberg.com/volt-pro/vendor/sweetalert2/dist/sweetalert2.min.css	C:/My%20Web%20Sites/VoltThemeFV/demo.themesberg.com/volt-pro/vendor/sweetalert2/dist/sweetalert2.min.css	(from https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html)
18:08:56	5159/5159	---MCZ	200	added ('OK')	text/css	etag:W/%2262c481d3-1427%22	https://demo.themesberg.com/volt-pro/vendor/notyf/notyf.min.css	C:/My%20Web%20Sites/VoltThemeFV/demo.themesberg.com/volt-pro/vendor/notyf/notyf.min.css	(from https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html)
18:08:56	25408/25408	---MCZ	200	added ('OK')	text/css	etag:W/%2262c481d3-6340%22	https://demo.themesberg.com/volt-pro/vendor/fullcalendar/main.min.css	C:/My%20Web%20Sites/VoltThemeFV/demo.themesberg.com/volt-pro/vendor/fullcalendar/main.min.css	(from https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html)
18:08:56	13010/13010	---MCZ	200	added ('OK')	text/css	etag:W/%2262c481d3-32d2%22	https://demo.themesberg.com/volt-pro/vendor/apexcharts/dist/apexcharts.css	C:/My%20Web%20Sites/VoltThemeFV/demo.themesberg.com/volt-pro/vendor/apexcharts/dist/apexcharts.css	(from https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html)
18:08:57	9846/9846	---MCZ	200	added ('OK')	text/css	etag:W/%2262c481d3-2676%22	https://demo.themesberg.com/volt-pro/vendor/dropzone/dist/min/dropzone.min.css	C:/My%20Web%20Sites/VoltThemeFV/demo.themesberg.com/volt-pro/vendor/dropzone/dist/min/dropzone.min.css	(from https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html)
18:08:57	6735/6735	---MCZ	200	added ('OK')	text/css	etag:W/%2262c481d3-1a4f%22	https://demo.themesberg.com/volt-pro/vendor/choices.js/public/assets/styles/choices.min.css	C:/My%20Web%20Sites/VoltThemeFV/demo.themesberg.com/volt-pro/vendor/choices.js/public/assets/styles/choices.min.css	(from https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html)
18:08:57	14272/14272	---MCZ	200	added ('OK')	text/css	etag:W/%2262c481d3-37c0%22	https://demo.themesberg.com/volt-pro/vendor/leaflet/dist/leaflet.css	C:/My%20Web%20Sites/VoltThemeFV/demo.themesberg.com/volt-pro/vendor/leaflet/dist/leaflet.css	(from https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html)
18:08:57	407705/407705	---MCZ	200	added ('OK')	text/css	etag:W/%2262c481d3-63899%22	https://demo.themesberg.com/volt-pro/css/volt.css	C:/My%20Web%20Sites/VoltThemeFV/demo.themesberg.com/volt-pro/css/volt.css	(from https://demo.themesberg.com/volt-pro/pages/dashboard/dashboard.html)
