date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:48	151920/151920	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2017:34:52%20GMT	https://spruko.com/demo/xintra/dist/html/index4.html	C:/My%20Web%20Sites/XintraAdminPannel/spruko.com/demo/xintra/dist/html/index4.html	(from )
16:48:48	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202024%2011:18:52%20GMT	https://spruko.com/robots.txt		(from )
16:48:49	10834/10834	---M--	200	added ('OK')	text/javascript	date:Mon,%2002%20Sep%202024%2015:04:10%20GMT	https://spruko.com/demo/xintra/dist/assets/js/main.js	C:/My%20Web%20Sites/XintraAdminPannel/spruko.com/demo/xintra/dist/assets/js/main.js	(from https://spruko.com/demo/xintra/dist/html/index4.html)
16:48:50	89447/89447	---M--	200	added ('OK')	text/javascript	date:Fri,%2030%20Aug%202024%2020:05:58%20GMT	https://spruko.com/demo/xintra/dist/assets/libs/choices.js/public/assets/scripts/choices.min.js	C:/My%20Web%20Sites/XintraAdminPannel/spruko.com/demo/xintra/dist/assets/libs/choices.js/public/assets/scripts/choices.min.js	(from https://spruko.com/demo/xintra/dist/html/index4.html)
16:48:53	232803/232803	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202024%2020:06:00%20GMT	https://spruko.com/demo/xintra/dist/assets/libs/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/XintraAdminPannel/spruko.com/demo/xintra/dist/assets/libs/bootstrap/css/bootstrap.min.css	(from https://spruko.com/demo/xintra/dist/html/index4.html)
16:48:54	3861/3861	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202024%2020:05:58%20GMT	https://spruko.com/demo/xintra/dist/assets/libs/node-waves/waves.min.css	C:/My%20Web%20Sites/XintraAdminPannel/spruko.com/demo/xintra/dist/assets/libs/node-waves/waves.min.css	(from https://spruko.com/demo/xintra/dist/html/index4.html)
16:48:54	3269/3269	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202024%2020:05:56%20GMT	https://spruko.com/demo/xintra/dist/assets/libs/simplebar/simplebar.min.css	C:/My%20Web%20Sites/XintraAdminPannel/spruko.com/demo/xintra/dist/assets/libs/simplebar/simplebar.min.css	(from https://spruko.com/demo/xintra/dist/html/index4.html)
16:48:55	16166/16166	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202024%2020:05:58%20GMT	https://spruko.com/demo/xintra/dist/assets/libs/flatpickr/flatpickr.min.css	C:/My%20Web%20Sites/XintraAdminPannel/spruko.com/demo/xintra/dist/assets/libs/flatpickr/flatpickr.min.css	(from https://spruko.com/demo/xintra/dist/html/index4.html)
16:48:55	9248/9248	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202024%2020:05:56%20GMT	https://spruko.com/demo/xintra/dist/assets/libs/@simonwep/pickr/themes/nano.min.css	C:/My%20Web%20Sites/XintraAdminPannel/spruko.com/demo/xintra/dist/assets/libs/@simonwep/pickr/themes/nano.min.css	(from https://spruko.com/demo/xintra/dist/html/index4.html)
16:48:57	7666/7666	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Aug%202024%2020:05:58%20GMT	https://spruko.com/demo/xintra/dist/assets/libs/choices.js/public/assets/styles/choices.min.css	C:/My%20Web%20Sites/XintraAdminPannel/spruko.com/demo/xintra/dist/assets/libs/choices.js/public/assets/styles/choices.min.css	(from https://spruko.com/demo/xintra/dist/html/index4.html)
