date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:27	46993/46993	---MCZ	200	added ('OK')	text/html	etag:%2214a7286577abceae83dfe51db086cb79-ssl-df%22	https://matdash-angular-main.netlify.app/dashboards/dashboard1	C:/My%20Web%20Sites/angular/matdash-angular-main.netlify.app/dashboards/dashboard1.html	(from )
18:05:27	6781/6781	---M-Z	200	added ('OK')	text/html	etag:%2214a7286577abceae83dfe51db086cb79-ssl-df%22	https://matdash-angular-main.netlify.app/robots.txt		(from )
18:05:51	83/83	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2028%20Sep%202024%2012:35:55%20GMT	http://matdash-angular-main.netlify.app/styles.589609573bb453bd.css	C:/My%20Web%20Sites/angular/matdash-angular-main.netlify.app/styles.589609573bb453bd.3.delayed	(from https://matdash-angular-main.netlify.app/dashboards/dashboard1)
18:05:52	33194/33194	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266f7a2b5-81aa%22	https://code.iconify.design/2/2.0.3/iconify.min.js	C:/My%20Web%20Sites/angular/code.iconify.design/2/2.0.3/iconify.min.js	(from https://matdash-angular-main.netlify.app/dashboards/dashboard1)
18:05:52	83/83	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2028%20Sep%202024%2012:35:56%20GMT	http://matdash-angular-main.netlify.app/runtime.d4cedde1add458a3.js	C:/My%20Web%20Sites/angular/matdash-angular-main.netlify.app/runtime.d4cedde1add458a3.5.delayed	(from https://matdash-angular-main.netlify.app/dashboards/dashboard1)
18:05:52	613905/613905	---MCZ	200	added ('OK')	text/css	etag:%2220be4d450fd7343b1097816037b0e499-ssl-df%22	https://matdash-angular-main.netlify.app/styles.589609573bb453bd.css	C:/My%20Web%20Sites/angular/matdash-angular-main.netlify.app/styles.589609573bb453bd.css	(from https://matdash-angular-main.netlify.app/dashboards/dashboard1)
18:05:53	3198/3198	---M-Z	200	added ('OK')	application/javascript	etag:%22574849678e46062c460f35b0e42c9b95-ssl-df%22	https://matdash-angular-main.netlify.app/runtime.d4cedde1add458a3.js	C:/My%20Web%20Sites/angular/matdash-angular-main.netlify.app/runtime.d4cedde1add458a3.js	(from https://matdash-angular-main.netlify.app/dashboards/dashboard1)
18:05:54	85/85	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2028%20Sep%202024%2012:35:57%20GMT	http://matdash-angular-main.netlify.app/polyfills.839ae9f0a94ce5b0.js	C:/My%20Web%20Sites/angular/matdash-angular-main.netlify.app/polyfills.839ae9f0a94ce5b0.7.delayed	(from https://matdash-angular-main.netlify.app/dashboards/dashboard1)
18:05:55	80/80	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2028%20Sep%202024%2012:35:59%20GMT	http://matdash-angular-main.netlify.app/main.9bea5e0716ddc194.js	C:/My%20Web%20Sites/angular/matdash-angular-main.netlify.app/main.9bea5e0716ddc194.9.delayed	(from https://matdash-angular-main.netlify.app/dashboards/dashboard1)
18:05:55	34169/34169	---MCZ	200	added ('OK')	application/javascript	etag:%22d91b97050ca4bb1d7027d6e9d0d4022c-ssl-df%22	https://matdash-angular-main.netlify.app/polyfills.839ae9f0a94ce5b0.js	C:/My%20Web%20Sites/angular/matdash-angular-main.netlify.app/polyfills.839ae9f0a94ce5b0.js	(from https://matdash-angular-main.netlify.app/dashboards/dashboard1)
18:05:56	67/67	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2028%20Sep%202024%2012:35:38%20GMT	http://matdash-angular-main.netlify.app/favicon.ico	C:/My%20Web%20Sites/angular/matdash-angular-main.netlify.app/favicon.1.delayed	(from https://matdash-angular-main.netlify.app/dashboards/dashboard1)
18:05:57	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202024%2012:36:00%20GMT	https://fonts.gstatic.com/robots.txt		(from https://matdash-angular-main.netlify.app/dashboards/dashboard1)
18:05:57	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202024%2012:36:01%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/angular/fonts.gstatic.com/index.html	(from https://matdash-angular-main.netlify.app/dashboards/dashboard1)
18:05:57	3880101/3880101	---MCZ	200	added ('OK')	application/javascript	etag:%223a3932a67b3bf984d6fe9746bd50ece9-ssl-df%22	https://matdash-angular-main.netlify.app/main.9bea5e0716ddc194.js	C:/My%20Web%20Sites/angular/matdash-angular-main.netlify.app/main.9bea5e0716ddc194.js	(from https://matdash-angular-main.netlify.app/dashboards/dashboard1)
18:05:58	44951/44951	---M--	200	added ('OK')	image/png	etag:%227526e8b1918c785a0294bec83141cc5d-ssl%22	https://matdash-angular-main.netlify.app/assets/images/backgrounds/welcome-bg2.png	C:/My%20Web%20Sites/angular/matdash-angular-main.netlify.app/assets/images/backgrounds/welcome-bg2.png	(from https://matdash-angular-main.netlify.app/styles.589609573bb453bd.css)
18:05:58	25801/25801	---M--	200	added ('OK')	image/jpeg	etag:%22b991826c5e292507e6a104c8dcf0222c-ssl%22	https://matdash-angular-main.netlify.app/assets/images/backgrounds/login-bg.jpg	C:/My%20Web%20Sites/angular/matdash-angular-main.netlify.app/assets/images/backgrounds/login-bg.jpg	(from https://matdash-angular-main.netlify.app/styles.589609573bb453bd.css)
